time,Etot,Vpot,Tkin,Pc,Pc_cart,lambda,beta,trans_error,orientation_error,s_n_j1,u_n_j1,s_dot_j1,tau_on_j1,qdot_j1,c_fric_j1,v_fric_j1,power_fric_j1,s_n_j2,u_n_j2,s_dot_j2,tau_on_j2,qdot_j2,c_fric_j2,v_fric_j2,power_fric_j2,s_n_j3,u_n_j3,s_dot_j3,tau_on_j3,qdot_j3,c_fric_j3,v_fric_j3,power_fric_j3
0.0,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.02,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.04,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.06,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.08,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.1,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.12000000000000001,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.14,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.16,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.18,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.19999999999999998,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.21999999999999997,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.23999999999999996,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.25999999999999995,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.27999999999999997,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.3,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.32,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.34,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.36000000000000004,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.38000000000000006,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.4000000000000001,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.4200000000000001,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.4400000000000001,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
0.46000000000000013,1.227180078895413,1.227180078895413,0.0,0.0,1.0,1.0,1.0,0.18306500424481983,0.00019529912354991963,5.0,-0.5971539015303997,-0.0,2.9857695076519986,0.0,0.0,0.0,0.0,5.0,1.2976806584736251,0.0,-6.488403292368126,0.0,0.0,0.0,0.0,5.0,1.5524797043475895,-0.0,-7.762398521737948,-0.0,0.0,-0.0,0.0
